SSID,Year,OtherTopic,Data,Security,Application,Infra,FrontEnd,BackEnd,SaaS,Community,StartUp,Enterprise,Academic,AI/ML,Mobile,DevOps,Programming,Blockchain/Web3,Testing/QA,Design,Hardware/IoT/Maker,GIS/Mapping,CivicTech,FinTech/DeFi,EdTech,Telecom/5G,DevLifestyle,Multimedia/CreativeTech,MyData/PersonalData,Culture/Localization,Legal/Policy,SessionCount
DM3QCZ,2022,63,58,57,62,60,56,54,57,77,68,57,61,58,57,59,56,58,52,58,58,57,68,55,62,62,56,63,56,62,56,295
TXSWFX,2022,67,67,64,59,61,59,55,58,67,58,60,64,58,56,60,59,60,52,56,64,63,62,62,60,62,59,60,55,59,60,295
HPDATL,2022,61,63,59,59,58,57,60,63,58,53,58,58,56,56,62,56,58,59,61,57,62,59,53,62,55,62,60,59,56,56,295
FBVH8S,2022,67,57,59,61,50,55,53,58,56,61,59,62,66,61,63,65,61,58,61,61,52,57,54,57,58,63,61,50,61,58,295
P8LMXA,2022,69,65,69,61,69,67,60,69,67,67,73,70,64,59,67,58,76,60,65,72,62,69,73,65,72,70,69,61,68,71,295
7UN8BC,2022,65,62,59,64,60,81,67,66,58,65,63,60,61,69,62,66,60,62,68,66,60,57,59,64,63,65,63,56,57,54,295
ANR9DV,2022,59,65,62,60,62,55,58,58,74,64,60,56,66,59,61,59,59,55,53,64,62,64,62,66,61,64,62,59,63,70,295
LMT7LN,2022,58,57,56,62,58,51,56,61,54,54,55,58,58,62,60,64,58,58,62,59,63,55,52,59,61,55,57,54,63,55,295
WL9YQD,2022,57,59,66,69,63,56,56,63,56,56,64,54,64,78,63,58,67,62,60,69,64,64,60,57,69,59,62,62,59,58,295
FE99SG,2022,62,72,64,59,71,56,60,62,70,60,62,63,63,60,62,55,64,55,55,65,69,65,63,67,67,59,61,67,62,66,295
N9ACH9,2022,58,58,59,65,53,62,57,59,67,60,60,59,59,62,65,55,53,58,68,63,64,61,54,65,58,64,61,57,65,63,295
C3CZFQ,2022,66,54,55,56,54,56,53,55,66,56,53,58,57,54,59,54,54,57,59,53,54,60,49,54,49,59,56,53,56,53,295
LCMWZZ,2022,58,63,60,64,57,56,61,62,51,54,58,53,63,60,61,66,60,64,62,57,64,53,54,59,58,62,55,61,54,58,295
S9GUZP,2022,58,55,56,53,58,56,57,56,67,59,53,56,52,56,57,47,58,48,51,54,55,61,59,58,59,51,58,57,58,53,295
98DQ7B,2022,63,63,63,62,70,57,65,70,64,67,68,63,71,63,70,57,65,62,71,72,65,62,60,64,64,66,67,65,60,67,295
QGLJLL,2022,61,69,59,63,71,55,59,63,67,65,63,63,65,62,66,58,60,65,61,68,71,61,58,68,63,67,63,61,63,63,295
H8UGK7,2022,63,71,66,55,70,60,63,63,64,52,59,60,58,56,63,60,65,57,59,62,65,59,57,61,62,58,58,67,59,63,295
3HCHDC,2022,59,55,56,52,58,55,57,56,67,59,53,56,53,55,56,47,60,48,50,55,55,62,59,58,58,51,59,57,57,53,295
ZLRSQQ,2022,64,53,55,50,57,52,56,56,62,58,55,60,53,55,61,49,57,54,55,55,56,55,53,61,53,54,51,55,58,58,295
SXAQK8,2022,65,58,54,58,48,50,50,49,59,59,56,63,56,54,60,60,53,60,54,56,55,58,54,61,57,66,54,52,59,48,295
U9FJRB,2022,67,62,60,58,61,56,60,60,62,58,66,57,58,60,64,60,61,57,64,59,61,60,57,55,61,61,54,63,61,58,295
QYF3HL,2022,65,59,56,68,64,59,63,64,61,51,60,62,63,63,69,66,60,61,63,73,56,62,58,59,60,66,72,51,59,62,295
NH7HYH,2022,69,57,69,58,67,62,68,64,63,61,56,59,59,61,67,61,74,62,61,65,60,63,64,61,71,64,59,60,57,66,295
ZPPJDD,2022,68,64,62,62,57,60,52,62,65,60,61,68,59,60,60,50,60,58,62,58,65,64,58,65,58,65,60,63,65,56,295
QE37QC,2022,64,57,71,59,61,54,57,59,64,59,59,59,61,53,61,52,64,57,54,61,55,65,61,58,60,64,63,58,55,56,295
TAAPFA,2022,62,58,63,68,62,65,65,63,66,59,61,66,57,65,65,64,64,61,64,66,61,60,62,62,60,68,62,56,60,66,295
